dt (x),AverageTemperature (y)
1950,-28.593
1951,-24.164
1952,-25.351
1953,-24.045
1954,-27.365
1955,-21.026
1956,-21.917
1957,-25.876
1958,-18.428
1959,-23.356
1960,-22.14
1961,-23.032
1962,-23.803
1963,-23.762
1964,-21.977
1965,-24.076
1966,-26.426
1967,-23.029
1968,-24.273
1969,-24.637
1970,-23.575
1971,-24.816
1972,-26.71
1973,-21.686
1974,-26.15
1975,-24.748
1976,-22.708
1977,-20.181
1978,-23.026
1979,-22.289
1980,-22.529
1981,-16.935
1982,-27.335
1983,-22.138
1984,-23.567
1985,-19.849
1986,-20.801
1987,-18.986
1988,-22.993
1989,-23.253
1990,-21.907
1991,-24.725
1992,-20.45
1993,-21.908
1994,-26.153
1995,-19.914
1996,-25.682
1997,-23.213
1998,-23.587
1999,-22.238
2000,-23.61
2001,-22.21
2002,-24.737
2003,-18.502
2004,-22.786
2005,-20.977
2006,-22.78
2007,-20.346
2008,-25.166
2009,-24.732
2010,-24.53
2011,-23.244
2012,-23.745
2013,-18.206
2014,-27.69
2015,-19.078
2016,-22.146
2017,-21.083
2018,-27.956
2019,-21.976
2020,-21.721
